Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2017,NA,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,Y,NA,2017,NA,2017,<=2 Months,<=2 Months,1,458.64,NA,1,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Ordnance and Missiles,Navy,Small,559.8618481075495,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,2,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,Y,N,NA,2023,NA,2023,>2-7 Months,>2-7 Months,1,-30877.74,NA,1,2024-01-01,2024.2,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,-30074.56892323102,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,N,N,X,2006,FALSE,1900,NA,<=2 Months,150,1918694,NA,150,2006-01-01,2006,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Small,2791264.169779687,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2001,NA,Defense,DLA,Other,Other Products,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,Other FP,K,Small,FALSE,Y,N,X,2001,FALSE,1900,NA,>7-12 Months,11,3234005,NA,11,2001-01-01,2001,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Small,5308255.884456813,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2019,NA,Defense,Navy,Aircraft,Aircraft,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,Y,N,X,2018,FALSE,2018,>2-7 Months,>2-7 Months,1,0,NA,1,2019-01-01,2019,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Navy,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,N,NA,2019,FALSE,2023,>4 years,>2-7 Months,1,203827,NA,1,2018-01-01,2018,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Big Five,243407.96205742448,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2017,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,Y,N,NA,2018,NA,2019,>4 years,>2-4 Years,4,621308.75,NA,4,2017-01-01,2017,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Small,758431.5912706947,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,DLA,ERS,Other Services,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,X,NA,FALSE,NA,NA,NA,11,0,NA,NA,2019-01-01,2019,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,DLA,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2016,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,BPA,Competition with single offer,One Offer,FFP,J,Small,TRUE,N,N,NA,2016,NA,2016,<=2 Months,<=2 Months,4,7124.2501,NA,4,2016-01-01,2016,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,8843.372077272243,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Army,Other,Other Products,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2021,NA,2020,>2-7 Months,>2-4 Years,1,-194272,NA,1,2021-01-01,2021,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Army,Small,-217367.39724991037,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2014,NA,Defense,Army,Aircraft,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,Y,NA,2013,FALSE,2013,>1-2 Years,>1-2 Years,2,0,NA,2,2014-01-01,2014,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Army,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
1999,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,T&M/LH/FPLOE,Y,Small,FALSE,N,N,X,2000,FALSE,NA,NA,>2-7 Months,2,148343,NA,2,1999-01-01,1999,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,254579.36174506944,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2023,2,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,Y,N,NA,2023,FALSE,2023,>2-7 Months,>2-7 Months,2,34761.8511,NA,2,2023-01-01,2023.2,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Medium,34761.8511,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,2,Defense,Army,PAMS,Other Services,NA,NA,BOA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,Other CB,U,Large,TRUE,N,Y,NA,2024,NA,2020,>4 years,>4 years,6,18813768.26,NA,6,2024-01-01,2024.2,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Large,18324397.130135372,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2013,NA,Defense,Army,FRS,Facilities and Construction,FALSE,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,Other CB,U,Small,TRUE,N,N,Y,2015,FALSE,2010,>1-2 Years,>4 years,1,0,NA,1,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2025,2,Defense,Air Force,Missiles & Space,Ordnance and Missiles,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,N,Y,2026,FALSE,2030,>4 years,>7-12 Months,1,11683711,NA,1,2025-01-01,2025.2,YTD,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,Air Force,Big Five,11135466.909925262,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2009,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,TRUE,Y,N,X,2009,FALSE,2014,>4 years,>2-7 Months,1,291500,NA,1,2009-01-01,2009,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Medium,400218.25418523094,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2005,NA,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Incentive,V,Medium <1B,TRUE,N,N,X,2006,FALSE,2004,>7-12 Months,>2-4 Years,9,4637310,NA,9,2005-01-01,2005,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Incentive,CB-Incentive,Cost-Based,Incentive,Incentive,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Medium,6965379.99269004,Cost-Based,>1 year,Cost-Based,Cost-Based,Incentive,<=1 year
2020,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,Y,2021,FALSE,2024,>4 years,>1-2 Years,5,715952,NA,5,2020-01-01,2020,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,828636.2058124598,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,3,Defense,Navy,ERS,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,Other CB,S,Large,TRUE,N,N,Y,2023,FALSE,2021,>7-12 Months,>2-4 Years,1,0,NA,1,2022-01-01,2022.3,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2006,NA,Defense,Army,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,2,1079995,NA,2,2006-01-01,2006,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,1571147.5342296443,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1997,NA,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,NA,Limited Competition with multiple offers,3-4 Offers,NA,U,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,162173,NA,1,1997-01-01,1997,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,NA,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Medium,285292.6663434864,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2006,NA,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,PO,No Competition (Unlabeled Exception),No competition,FFP,J,Medium >1B,TRUE,N,N,X,2007,FALSE,1900,NA,>2-7 Months,1,19088,NA,1,2006-01-01,2006,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Medium,27768.70646009977,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2014,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,Y,N,NA,2014,FALSE,2013,>7-12 Months,>1-2 Years,1,0,NA,1,2014-01-01,2014,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2008,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Unlabeled Exception),No competition,NA,NO,Large: Big 5,TRUE,N,N,X,2008,FALSE,NA,NA,>4 years,1,-400000,NA,1,2008-01-01,2008,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Definitive,Definitive,Award,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Big Five,-554800.5906174071,NA,>1 year,NA,NA,Crosscutting,NA
2021,NA,Defense,Navy,R&D administrative and operational expenses,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,S,Medium >1B,TRUE,N,N,NA,2022,FALSE,2022,>7-12 Months,>7-12 Months,4,375000,NA,4,2021-01-01,2021,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Medium,419580.65994438925,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,X,2008,FALSE,2011,>2-4 Years,>7-12 Months,3,28374,NA,3,2008-01-01,2008,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,39354.779895445776,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2023,1,Defense,DLA,Engines & Power Plants,Aircraft,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2023,NA,2022,<=2 Months,>7-12 Months,1,0,NA,1,2023-01-01,2023.1,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1995,NA,Defense,DISA,Construction,Facilities and Construction,NA,NA,NA,No Competition (Other Exception),No competition,NA,J,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108332,NA,3,1995-01-01,1995,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Medium,197610.38927190905,FFP,NA,FFP,FFP,Crosscutting,NA
2004,NA,Defense,Navy,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,NA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2004-01-01,2004,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2002,NA,Defense,Army,Missiles & Space,Ordnance and Missiles,NA,NA,PO,No Competition (Unlabeled Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,X,2002,FALSE,1900,NA,>1-2 Years,1,-38591,NA,1,2002-01-01,2002,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,Army,Big Five,-62361.70732680364,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2024,1,Defense,DLA,Other,Other Products,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,TRUE,Y,N,X,2024,FALSE,2024,>2-7 Months,>2-7 Months,2,23116.88,NA,2,2024-01-01,2024.1,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Medium,22515.579211757748,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,DCA,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,N,Y,2022,FALSE,2019,>2-4 Years,>4 years,13,14374043,NA,13,2018-01-01,2018,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,Products,Products (All),Products (All),Aircraft,Air Force,Big Five,17165324.089329615,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2013,NA,Defense,Navy,Engineering Development,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,Other CB,U,Large,TRUE,N,N,NA,2013,FALSE,2013,>7-12 Months,>7-12 Months,1,0,NA,1,2013-01-01,2013,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Large,0,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,1,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,GWAC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,NA,2020,NA,2020,>7-12 Months,>1-2 Years,1,-275,NA,1,2023-01-01,2023.1,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,-275,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2008,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2004,FALSE,1900,NA,>2-7 Months,1,0,NA,1,2008-01-01,2008,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2020,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Large (Small Subsidiary),TRUE,Y,N,NA,2020,NA,2020,>2-7 Months,>2-7 Months,1,1738,NA,1,2020-01-01,2020,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Large,2011.5450836118275,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,3,Defense,DLA,Launchers & Munitions,Ordnance and Missiles,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large: Big 5,TRUE,N,N,NA,2025,NA,2025,>7-12 Months,>7-12 Months,13,550909.05,NA,13,2024-01-01,2024.3,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,DLA,Big Five,536579.1730436465,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2019,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BPA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,FALSE,Y,N,NA,2019,NA,2019,>1-2 Years,>1-2 Years,1,0,NA,1,2019-01-01,2019,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
