Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2012,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,N,N,NA,2012,NA,2012,<=2 Months,<=2 Months,3,16545,NA,3,2012-01-01,2012,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,21684.00419555403,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2001,NA,Defense,Navy,Ground Vehicles,Aircraft,FALSE,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,FALSE,N,N,X,2002,FALSE,1900,NA,>2-7 Months,1,38486,NA,1,2001-01-01,2001,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Small,63170.44530518813,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2020,NA,Defense,Army,Engineering Development,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,NA,1,Medium <1B,TRUE,N,N,X,NA,FALSE,NA,NA,NA,4,0,NA,NA,2020-01-01,2020,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Order Dependent (IDV only),NA,NA,Crosscutting,Crosscutting,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Medium,0,NA,NA,NA,NA,Crosscutting,NA
2019,NA,Defense,DLA,Engines & Power Plants,Land Vehicles,NA,NA,BOA,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,N,N,NA,2020,NA,2020,>1-2 Years,>1-2 Years,3,256256.2393,NA,3,2019-01-01,2019,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,DLA,Large,300462.9636366133,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2009,NA,Defense,Air Force,PAMS,Aircraft,NA,NA,NA,No Competition (Other Exception),No competition,T&M/LH/FPLOE,Z,Small,TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2009-01-01,2009,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),NA,NA,NA,Labor Hours,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,0,All Other,NA,All Other,All Other,Cost or Effort-Based,NA
2012,NA,Defense,Air Force,Other,Facilities and Construction,NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,NA,2012,<=2 Months,<=2 Months,1,-2148.27,NA,1,2012-01-01,2012,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Air Force,Medium,-2815.5391775873586,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Other DoD,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BOA,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,Y,NA,2014,NA,2013,>1-2 Years,>1-2 Years,1,0,NA,1,2015-01-01,2015,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,1,Defense,Navy,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2024-01-01,2024.1,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2008,NA,Defense,Other DoD,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,Y,N,X,2009,FALSE,2009,>7-12 Months,>1-2 Years,1,0,NA,1,2008-01-01,2008,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2023,2,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,TRUE,Y,N,NA,2023,FALSE,2027,>4 years,>4 years,1,-7333.73,NA,1,2023-01-01,2023.2,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,-7333.73,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2009,NA,Defense,Air Force,ERS,Aircraft,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,NA,NO,Small,TRUE,N,N,X,2010,FALSE,2011,>2-4 Years,>1-2 Years,1,0,NA,1,2009-01-01,2009,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,0,NA,>1 year,NA,NA,Crosscutting,>1 year
2023,4,Defense,Navy,ERS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2024,FALSE,2024,>2-7 Months,>2-7 Months,1,649000,NA,1,2023-01-01,2023.4,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,649000,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Air Force,Launchers & Munitions,Ordnance and Missiles,FALSE,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,X,2012,TRUE,2012,>2-4 Years,>2-4 Years,8,9626436,NA,8,2010-01-01,2010,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Air Force,Big Five,13103245.339978771,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,Y,N,X,2010,FALSE,2010,>2-7 Months,>2-7 Months,4,148574.9508,NA,4,2010-01-01,2010,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,202236.22031120086,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,Y,N,NA,2020,FALSE,2019,>7-12 Months,>1-2 Years,1,-5078.3999,NA,1,2020-01-01,2020,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,DLA,Small,-5877.692952508513,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2013,NA,Defense,Army,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,NA,2013,TRUE,2013,>1-2 Years,>1-2 Years,31,4715536.83,NA,31,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Small,6070078.884754269,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,3,Defense,DLA,Other,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Unlabeled,FALSE,N,N,NA,2022,FALSE,2022,>2-7 Months,>2-7 Months,3,81945.5586,NA,3,2022-01-01,2022.3,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Unlabeled,85694.2888582661,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2016,FALSE,2015,>7-12 Months,>2-4 Years,1,-2573.7,NA,1,2017-01-01,2017,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,-3141.715590603523,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2024,2,Defense,Army,Other,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,NA,Y,N,NA,2024,NA,2024,>2-7 Months,<=2 Months,3,38680,NA,3,2024-01-01,2024.2,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Small,37673.88176565305,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,Aircraft,Aircraft,FALSE,NA,BOA,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,NA,2017,NA,2017,>2-4 Years,>2-4 Years,1,0,NA,1,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2003,NA,Defense,Army,Advanced Development,Other R&D and Knowledge Based,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,Y,N,X,2003,FALSE,1900,NA,<=2 Months,1,15000,NA,1,2003-01-01,2003,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Small,23782.958810793076,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2018,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Small,TRUE,N,N,NA,2014,FALSE,2014,>1-2 Years,>1-2 Years,1,-101873.6875,NA,1,2018-01-01,2018,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Small,-121656.43737900238,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2013,NA,Defense,Air Force,MED,Other Services,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2014,NA,2013,>7-12 Months,>1-2 Years,1,2500,NA,1,2013-01-01,2013,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Air Force,Medium,3218.1271738441014,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2010,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Small,FALSE,N,N,NA,2011,FALSE,2011,>7-12 Months,>7-12 Months,2,1860475,NA,2,2010-01-01,2010,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,2532428.44744379,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large (Small Subsidiary),NA,Y,N,NA,2013,NA,2017,>4 years,>1-2 Years,1,0,NA,1,2012-01-01,2012,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,4,Defense,Air Force,FRS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2025,NA,2028,>4 years,>1-2 Years,2,54940.59,NA,2,2024-01-01,2024.4,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,53511.51219739452,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,Other DoD,PAMS,Ordnance and Missiles,NA,NA,DCA,No Competition (Only One Source Exception),No competition,Combination/Other,2,Small,FALSE,N,N,X,2008,TRUE,2011,>4 years,>1-2 Years,1,707000,NA,1,2007-01-01,2007,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Ordnance and Missiles,Other DoD,Small,1000968.3370524239,All Other,>1 year,All Other,All Other,Crosscutting,>1 year
2024,4,Defense,Air Force,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,TRUE,N,N,Y,2025,FALSE,2025,>7-12 Months,>7-12 Months,1,237339.08,NA,1,2024-01-01,2024.4,Full Year,Air Force,Air Force,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,231165.57492990873,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,DISA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2010,FALSE,2010,>2-4 Years,>2-4 Years,1,20998,NA,1,2007-01-01,2007,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Small,29728.901190136912,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Large (Small Subsidiary),FALSE,Y,N,NA,2012,FALSE,2012,<=2 Months,<=2 Months,1,85425,NA,1,2011-01-01,2011,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,113990.26843761466,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Army,Other,Missile Defense,FALSE,NA,PO,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,FFP,J,Small,FALSE,N,N,X,2061,FALSE,2061,>4 years,>4 years,2,22199.97,NA,2,2008-01-01,2008,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Missile Defense,Army,Small,30791.391169221803,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2018,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,TRUE,Y,N,NA,2018,FALSE,2018,>2-7 Months,>2-7 Months,1,220237.4688,NA,1,2018-01-01,2018,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,263005.1634439677,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2003,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Large,TRUE,N,N,X,2002,FALSE,1900,NA,NA,14,597427,NA,14,2003-01-01,2003,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Large,947238.7822303784,FFP,NA,FFP,FFP,Fixed-Price,NA
2023,3,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,GWAC,Limited Competition with multiple offers,Two Offers,Other CB,U,Large: Big 5,TRUE,N,N,NA,2025,NA,2025,>4 years,>4 years,1,0,-200029.4063,1,2023-01-01,2023.3,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2008,NA,Defense,Air Force,ERS,Aircraft,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Large,TRUE,N,Y,X,2009,FALSE,2009,>7-12 Months,>7-12 Months,2,153726,NA,2,2008-01-01,2008,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Large,213218.1889831288,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Army,MED,Other Services,NA,NA,FSS,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,NA,Y,N,X,2007,FALSE,2011,>4 years,>7-12 Months,4,99724.6016,NA,4,2007-01-01,2007,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Medium,141189.7717493175,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2020,NA,Defense,DLA,Other,Aircraft,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Large: Big 5,TRUE,N,N,NA,2021,NA,2021,>2-7 Months,>2-7 Months,3,184288.23,68656.2303,3,2020-01-01,2020,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Big Five,213293.4885063439,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,DLA,PAMS,Other R&D and Knowledge Based,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,N,2008,FALSE,2008,<=2 Months,<=2 Months,1,5000,NA,1,2008-01-01,2008,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,DLA,Medium,6935.007382717589,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2025,1,Defense,Air Force,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,NA,N,N,Y,2026,FALSE,2026,>1-2 Years,>1-2 Years,1,2185382.94,NA,1,2025-01-01,2025.1,YTD,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,2082836.4732648027,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,4,Defense,Navy,ERS,Other Services,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2024,NA,2024,>2-7 Months,>2-7 Months,3,375000,NA,3,2024-01-01,2024.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,365245.75134746364,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2014,NA,2014,>2-7 Months,>2-7 Months,3,90881,NA,3,2014-01-01,2014,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Air Force,Small,114890.67595497667,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Large: Big 5,TRUE,N,N,Y,2011,FALSE,2008,>4 years,>4 years,1,2191384.75,NA,1,2010-01-01,2010,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Big Five,2982853.8841932826,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2002,NA,Defense,Army,Ships,Ships & Submarines,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2002,FALSE,1900,NA,>7-12 Months,2,622050,NA,2,2002-01-01,2002,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Army,Small,1005211.06067835,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
