Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $14,000.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MBS
INTERNATIONAL AIRPORT COMMISSION (MBS).",6484,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $35,346.20 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR639); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICE REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE HAWAII, DEPT OF TRANSPORTATION AIRPORTS DIVISION
(MKK).",6485,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BROWNSVILLE/SOUTH PADRE INTERNATIONAL AIRPORT (BRO).,6486,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN
ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE WESTERN
NEBRASKA REGIONAL AIRPORT (BFF).",6487,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020.,6488,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,147.75 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID#
2413TA3SLR603); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE KERN COUNTY AIRPORTS (BFL).",6489,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MID AMERICA ST. LOUIS AIRPORT (BLV).,6490,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BLOOMINGTON NORMAL AIRPORT AUTHORITY (BMI).,6491,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $2,100.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BISMARCK MUNICIPAL AIRPORT (BIS).",6492,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $960.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR604); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF BILLINGS DBA AVIATION AND TRANSIT (BIL).,6493,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $2.490 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR608); AND FUND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BURBANK-GLENDALE-PASADENA AIRPORT AUTHORITY (BUR).,6494,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $1,080.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR609); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GALLATIN AIRPORT AUTHORITY (BZN).",6495,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF BATON ROUGE/PARISH OF EAST BATON ROUGE (BTR).,6496,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE AKRON- CANTON REGIONAL AIRPORT AUTHORITY BOARD (CAK).,6497,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,000.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR610); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THEYELLOWSTONE REGIONAL AIRPORT (COD).",6498,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 INACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH CITY OF CAPE GIRARDEAU (CGI).,6499,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $8,000.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE UNIVERSITY OF ILLINOIS-WILLARD
AIRPORT (CMI).",6500,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE COLUMBIA REGIONAL AIRPORT (COU).,6501,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CEDAR RAPIDS AIRPORT COMMISSION (CID).,6502,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF DALLAS (DAL).,6503,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF DAYTON (DAY).,6504,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY AND COUNTY OF DENVER (DEN).,6505,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $960.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR620); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE FLATHEAD MUNICIPAL AIRPORT AUTHORITY(GPI).",6506,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE FORT SMITH MUNICIPAL AIRPORT (FSM).,6507,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $16,500.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE KILLEEN- FORT HOOD REGIONAL AIRPORT (GRK).",6508,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $12,300.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LAKE
CHARLES REGIONAL AIRPORT (LCH).",6509,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LINCOLN AIRPORT (LNK).,6510,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LAFAYETTE REGIONAL AIRPORT (LFT).,6511,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $15,726.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR622); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 FOR THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GREAT FALLS INTERNATIONAL AIRPORT AUTHORITY (GTF).",6512,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,379.80 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR624); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE YAMPA VALLEY REGIONAL AIRPORT (HDN).",6513,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GREGG COUNTY AIRPORT (GGG).,6514,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,377.89 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR615); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF EUGENE (EUG).",6515,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $15,909.34 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR630); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE JACKSON HOLE AIRPORT BOARD (JAC).",6516,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $20,790.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR636); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF LONG BEACH LONG BEACH AIRPORT (LGB).",6517,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH EVANSVILLE REGIONAL AIRPORT (EVV).,6518,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $4,000.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE FORT WAYNE-ALLEN COUNTY AIRPORT AUTHORITY (FWA).",6519,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE HECTOR INTERNATIONAL AIRPORT (FAR).,6520,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LAREDO INTERNATIONAL AIRPORT (LRD).,6521,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $1,350.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF MCCOOK (MCK).",6522,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MERIDIAN REGIONAL AIRPORT (MEI).,6523,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF MCALLEN (MFE).,6524,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MONTROSE COUNTY AIRPORT (MTJ).,6525,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MADISON DANE COUNTY REGIONAL AIRPORT (MSN).,6526,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE COUNTY OF EMMET (PLN).,6527,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE HATTIESBURG-LAUREL REGIONAL AIRPORT (PIB).,6528,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE STATE OF HAWAII DOT AIRPORTS DIVISION (OGG).,6529,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $10,422.94 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR658); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE RENO/TAHOE INTERNATIONAL AIRPORT (RNO).",6530,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $2,725.00TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CHIPPEWA COUNTY (CIU).",6531,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $650.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH BEMIDJI REGIONAL AIRPORT (BJI).,6532,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CORPUS CHRISTI INTERNATIONAL AIRPORT (CRP).,6533,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE DELTA COUNTY AIRPORT (ESC).,6534,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE DULUTH INTERNATIONAL AIRPORT (DLH).,6535,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $280.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF DES MOINES, IOWA - AVIATION DEPARTMENT (DSM).",6536,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF FLAGSTAFF (FLG).,6537,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $1,260.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR617); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF FRESNO - AIRPORTS DEPARTMENT (FAT).",6538,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF IDAHO FALLS (IDA).,6539,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $1,700.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH DEVILS LAKE REGIONAL AIRPORT,
CITY OF DEVILS LAKE (DVL).",6540,,,,,,,
EXTEND THE POP,6541,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GOLDEN TRIANGLE REGIONAL AIRPORT (GTR).,6542,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF MIDLAND (MAF).,6543,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH GRAND RAPIDS(GRR).,6544,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $390.00.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE KIRKSVILLE REGIONAL AIRPORT (IRK).,6545,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GOGEBIC COUNTY (GOGEBIC-IRON COUNTY AIRPORT)(IWD).,6546,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE STATE OFHAWAII DOT AIRPORTS DIVISION (ITO).,6547,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE STATE OF HAWAII DEPARTMENT OF TRANSPORTATION (LNY).,6548,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $3,640.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE COUNTY OF MUSKEGON (MKG).",6549,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MILWAUKEE COUNTY (MKE).,6550,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE STATE OF HAWAII, DEPARTMENT OF TRANSPORTATIONAIRPORTS DIVISION (KOA).",6551,,,,,,,
