Description_of_Requirement,second,descrip_row_number
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP458 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF OMAHA, NEBRASKA (OMA).",Second,6450
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-FIVE (25) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP419 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF CHICAGO DEPARTMENT OF AVIATION, SAFETY, AND SECURITY (CPD).",Second,6451
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOURTEEN (14) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP425 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DENVER INTERNATIONAL AIRPORT, CITY AND COUNTY OF DENVER (DEN).",Second,6452
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP481 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN FRANCISCO INTERNATIONAL AIRPORT (SFO).,Second,6453
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP440 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CLARK COUNTY DEPARTMENT OF AVIATION (LAS).,Second,6454
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR EIGHT (8) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP466 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF PHOENIX (PHX).,Second,6455
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP497 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PHOENIX POLICE DEPARTMENT, TRANSIT ENFORCEMENT UNIT (PHXMT).",Second,6456
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THIRTEEN (13) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP495 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WASHINGTON STATE PATROL (WSP).,Second,6457
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-FIVE (25) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP460 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP)AND THE PORT AUTHORITY OF NEW YORK AND NEW JERSE(PAPD/PATH).,Second,6458
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP449 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NORTHEAST ILLINOIS REGIONAL COMMUTER RAILROAD CORPORATION (METRA).,Second,6459
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP421 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE KENTON COUNTY AIRPORT BOARD (CVG).,Second,6460
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR NINE (9) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP483 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PUERTO RICO GENERAL POLICE HEADQUARTERS (SJU).,Second,6461
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP429 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF EL PASO (ELP).,Second,6462
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-NINE (29) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP441 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF LOS ANGELES, LOS ANGELES WORLD AIRPORTS (LAX).",Second,6463
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP422 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF DALLAS (DAL).,Second,6464
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAM UNDER OTA HSTS02-16-H-NCP447 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE MARYLAND TRANSIT ADMINISTRATION (MDTA).,Second,6465
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR THREE (3) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP498 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LONG BEACH AIRPORT (LGB).,Second,6466
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TEN (10) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP494 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA).,Second,6467
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWENTY-ONE (21) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP404 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CITY OF ATLANTA - DEPARTMENT OF AVIATION (ATL).,Second,6468
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP426 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE DALLAS/FORT WORTH INTERNATIONAL AIRPORT BOARD (DFW).,Second,6469
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FOUR (4) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP435 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE HONOLULU INTERNATIONAL AIRPORT (HNL).,Second,6470
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIVE (5) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP474 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE SAN DIEGO UNIFIED PORT DISTRICT HARBOR POLICE DEPARTMENT (SAN).,Second,6471
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR TWELVE (12) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP439 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE LOS ANGELES COUNTY METRO TRANSIT AUTHORITY (LACMT).,Second,6472
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR FIFTEEN (15) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP420 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CHICAGO POLICE DEPARTMENT, CITY OF CHICAGO (CTA).",Second,6473
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR EIGHT (8) CANINE TEAMS UNDER OTA HSTS02-16-H-NCP416 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT (CLT).,Second,6474
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 JANUARY 2020 FOR SIX (6) CANINE UNDER OTA HSTS02-17-H-NCP499 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP AND THE CITY OF ONTARIO POLICE DEPARTMENT (ONT).,Second,6475
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIXTEEN (16) CANINE TEAMS UNDER NEW OTA HSTS02-17-H-NCP402 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE NATIONAL RAILROAD PASSENGER CORPORATION (AMTRAK).,Second,6476
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 29 FEBRUARY 2020 FOR SIX (6) CANINE TEAMS UNDER OTA HSTS02-17-H-NCP456 BETWEEN THE NATIONAL EXPLOSIVES DETECTION CANINE TEAM PROGRAM (NEDCTP) AND THE PORT OF OAKLAND (CITY OF OAKLAND, A MUNICIPAL CORPORATION, ACTING BY AND THROUGH ITS BOARD OF PORT COMMISSIONERS) (OAK).",Second,6477
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $2,340.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR664); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE SAN JOSE INTERNATIONAL AIRPORT (SJC).",Second,6478
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $5,400.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF PIERRE (PIR).",Second,6479
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE METROPOLITAN WASHINGTON AIRPORTS AUTHORITY (IAD).,Second,6480
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE DALLAS/FORT WORTH INTERNATIONAL AIRPORT BOARD (DFW).,Second,6481
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE PHOENIX SKY HARBOR INTERNATIONAL AIRPORT (PHX).,Second,6482
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $17,520.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE PITTSBURGH INTERNATIONAL AIRPORT (PIT).",Second,6483
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $14,000.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MBS
INTERNATIONAL AIRPORT COMMISSION (MBS).",Second,6484
"THE PURPOSE OF THIS MODIFICATION IS TO AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $35,346.20 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR639); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICE REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE HAWAII, DEPT OF TRANSPORTATION AIRPORTS DIVISION
(MKK).",Second,6485
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BROWNSVILLE/SOUTH PADRE INTERNATIONAL AIRPORT (BRO).,Second,6486
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN
ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE WESTERN
NEBRASKA REGIONAL AIRPORT (BFF).",Second,6487
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020.,Second,6488
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,147.75 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID#
2413TA3SLR603); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE KERN COUNTY AIRPORTS (BFL).",Second,6489
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE MID AMERICA ST. LOUIS AIRPORT (BLV).,Second,6490
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BLOOMINGTON NORMAL AIRPORT AUTHORITY (BMI).,Second,6491
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $2,100.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BISMARCK MUNICIPAL AIRPORT (BIS).",Second,6492
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $960.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR604); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF BILLINGS DBA AVIATION AND TRANSIT (BIL).,Second,6493
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $2.490 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR608); AND FUND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE BURBANK-GLENDALE-PASADENA AIRPORT AUTHORITY (BUR).,Second,6494
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $1,080.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR609); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GALLATIN AIRPORT AUTHORITY (BZN).",Second,6495
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF BATON ROUGE/PARISH OF EAST BATON ROUGE (BTR).,Second,6496
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE AKRON- CANTON REGIONAL AIRPORT AUTHORITY BOARD (CAK).,Second,6497
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,000.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR610); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THEYELLOWSTONE REGIONAL AIRPORT (COD).",Second,6498
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 INACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH CITY OF CAPE GIRARDEAU (CGI).,Second,6499
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $8,000.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE UNIVERSITY OF ILLINOIS-WILLARD
AIRPORT (CMI).",Second,6500
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE COLUMBIA REGIONAL AIRPORT (COU).,Second,6501
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CEDAR RAPIDS AIRPORT COMMISSION (CID).,Second,6502
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF DALLAS (DAL).,Second,6503
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF DAYTON (DAY).,Second,6504
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY AND COUNTY OF DENVER (DEN).,Second,6505
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $960.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR620); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE FLATHEAD MUNICIPAL AIRPORT AUTHORITY(GPI).",Second,6506
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE FORT SMITH MUNICIPAL AIRPORT (FSM).,Second,6507
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $16,500.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE KILLEEN- FORT HOOD REGIONAL AIRPORT (GRK).",Second,6508
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 UDO BALANCE OF $12,300.00 TO SUPPORT CY20 ACTIVITIES; AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LAKE
CHARLES REGIONAL AIRPORT (LCH).",Second,6509
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LINCOLN AIRPORT (LNK).,Second,6510
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE LAFAYETTE REGIONAL AIRPORT (LFT).,Second,6511
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $15,726.00 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR622); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 FOR THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GREAT FALLS INTERNATIONAL AIRPORT AUTHORITY (GTF).",Second,6512
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,379.80 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR624); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER
REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE YAMPA VALLEY REGIONAL AIRPORT (HDN).",Second,6513
THE PURPOSE OF THIS MODIFICATION IS TO FUND AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE GREGG COUNTY AIRPORT (GGG).,Second,6514
"THE PURPOSE OF THIS MODIFICATION IS TO FUND AND AUTHORIZE THE USE OF THE ESTIMATED FY19 LOA REMAINING BALANCE OF $5,377.89 TO SUPPORT FY19 PERIOD OF PERFORMANCE (POP) (PLEASE REFER TO DOCID# 2413TA3SLR615); AND EXTEND THE PERIOD OF PERFORMANCE THROUGH 31 MARCH 2020 IN ACCORDANCE WITH THE LAW ENFORCEMENT OFFICER REIMBURSEMENT PROGRAM AS OUTLINED IN THE OTA WITH THE CITY OF EUGENE (EUG).",Second,6515
